path,group,category,lines,sha256
service/packages/mcp/src/execution/operation-journal.ts,packages/mcp,production,1601,2a41fd92a99865c492c68f4674bb0979095bd91dccfc2fe2cbd5ec76e1c3bbee
service/packages/mcp/src/execution/operation-resolution-intent.ts,packages/mcp,production,389,0eacd7243e42f1cf301d5557db293a933f11a71e6094e1c1759a08d04d7ac7a1
service/packages/mcp/src/execution/service-operation-registry.ts,packages/mcp,production,26,6e1bd916a959145badbd4df52ed74cfe7a9f63af57923bd84ad2343cdaeb2ec7
service/packages/mcp/src/execution/target-resolver.ts,packages/mcp,production,147,b0a6ede8a2b9a239f94cb9859c4fbe7acbcd4ad1d3e9bdc81bfb0c00ddb610f6
service/packages/mcp/src/fs/atomic-file.ts,packages/mcp,production,2220,83a11caccd041b614dcd0dbb10c2b0910bac30edec4b94db234cad8258c78b90
service/packages/mcp/src/fs/evidence-retention-authority.ts,packages/mcp,production,329,bcca7fbf07429e48df1f81572b21812d4ef43d25550e3c50b0057b26cdd4b9f1
service/packages/mcp/src/fs/operation-evidence-artifact-store.ts,packages/mcp,production,2148,0c8e1ae112f9006bd0184a6a8b8088a4e778d36b19a3f5df225acfc025c83c8f
service/packages/mcp/src/fs/repo-walk.ts,packages/mcp,production,489,bfe368b629d7aa3d66fc347132b2a1f1e956b20c7d599fd731eaad0d9aa44248
service/packages/mcp/src/fs/windows-directory-lease-broker.ts,packages/mcp,production,492,a904a26c601dd842b77b0bd457554c8c8b0beb604bdd839af2bd059cde53db1a
service/packages/mcp/src/fs/workspace-config-store.ts,packages/mcp,production,716,be645d5da8cbab58af3b443456ac710a0b05a1cfb91e7c5d642a7535f2ed9636
service/packages/mcp/src/fs/workspace-policy.ts,packages/mcp,production,599,9518d6afa6f7f7d3f80cdea5823e168229e199af80ad7f8be86d179f9a1f7ef7
service/packages/mcp/src/fs/workspace-registration-resolver.ts,packages/mcp,production,96,c3f013e234bcd63d821d47abcc498bb7127c49318df6ecf2fa59f9a883460018
service/packages/mcp/src/icons/repo-icons.ts,packages/mcp,production,108,dbc05d3e9743f57c6824cb7aef83d88864be500092679c34dd52bdecf8b9827f
service/packages/mcp/src/ignored-dirs.ts,packages/mcp,production,26,d4bffd382d2459ccf205d7302f6ab761f7c8a180fff2a516a6fe6425482b584a
service/packages/mcp/src/index.ts,packages/mcp,production,1346,2f706bb011760207cb046b5caaa148b72716e7e7a6d7ab2415d917a7d08fb577
service/packages/mcp/src/instructions.ts,packages/mcp,production,23,2b3ee4a71a88918b271eef304ba2db9036b7572231d56cad6432c88a0df16e4a
service/packages/mcp/src/join/casefold.ts,packages/mcp,production,27,a938e431752b74f2c95b296a21539c344d3cb837793aafd3d04be19c70ed7ad1
service/packages/mcp/src/join/component-map.ts,packages/mcp,production,478,9ea882475fbfad7c8622377fc50ff042e098ce257313baf8222d3f94c42086be
service/packages/mcp/src/join/icon-map.ts,packages/mcp,production,237,bdfda916f15725dac6d414b7d289e7cf45679b6462dc8848240e0b07eb164f15
service/packages/mcp/src/join/status.ts,packages/mcp,production,38,c2fc428cd5bfeb18b842887c6960b952e42ba5cb8e6ae98040c63f173febf125
service/packages/mcp/src/join/token-map.ts,packages/mcp,production,601,9cc07e12931b6e3aeb89dc8c1c2fd8c71537838aa3fa36a02a0c4f63a06d38c1
service/packages/mcp/src/lifecycle.ts,packages/mcp,production,66,331bae755d1a5027c2764143e9dba0467e98e496bc10c60c1b69e27a7448c06d
service/packages/mcp/src/network/remote-domain-config-store.ts,packages/mcp,production,1251,e966c34360ad4ced9625302a349252155d26714833f7f42b6423f319e26e0b99
service/packages/mcp/src/network/remote-image-fetcher.ts,packages/mcp,production,1130,e1c5bcf0b01662df2c74838ffab62d4da303ad558f4ef2659a1bcdd4ba378eed
service/packages/mcp/src/node-id.ts,packages/mcp,production,101,e124dac6f6ead4c1ce5fd890c2e111f4974b173f02773889de69dad4387bca04
